epoch,accuracy,loss,val_accuracy,val_loss
0,0.0761599987745285,4.06060791015625,0.13600000739097595,3.6396467685699463
1,0.1762399971485138,3.434396266937256,0.20640000700950623,3.2802751064300537
2,0.2302200049161911,3.126542568206787,0.2378000020980835,3.130023241043091
3,0.2706199884414673,2.9120025634765625,0.2563999891281128,2.9998247623443604
4,0.3059599995613098,2.737544298171997,0.29670000076293945,2.8188223838806152
5,0.3349800109863281,2.605506181716919,0.3019999861717224,2.789403200149536
6,0.3608799874782562,2.4851415157318115,0.33399999141693115,2.65848708152771
7,0.38113999366760254,2.375814199447632,0.3440999984741211,2.593787908554077
8,0.39928001165390015,2.2883496284484863,0.35359999537467957,2.543800115585327
9,0.4210599958896637,2.2002065181732178,0.37139999866485596,2.502980947494507
10,0.43601998686790466,2.124647855758667,0.35199999809265137,2.597235918045044
11,0.4503600001335144,2.056648015975952,0.3763999938964844,2.4840266704559326
12,0.4690000116825104,1.9768134355545044,0.3905999958515167,2.455946207046509
13,0.4828599989414215,1.9127854108810425,0.3894999921321869,2.4340837001800537
14,0.4970000088214874,1.8519296646118164,0.38999998569488525,2.469487428665161
15,0.5099999904632568,1.7921288013458252,0.3862000107765198,2.472228765487671
16,0.5217400193214417,1.7371079921722412,0.390500009059906,2.4889049530029297
17,0.5382999777793884,1.6826907396316528,0.38690000772476196,2.5180046558380127
18,0.5501999855041504,1.626571536064148,0.39410001039505005,2.5243115425109863
19,0.5625399947166443,1.5690912008285522,0.384799987077713,2.6130318641662598
