epoch,accuracy,loss,val_accuracy,val_loss
0,0.07466,4.070155842361451,0.13529999554157257,3.690207418060303
1,0.17108,3.4354710082244875,0.20069999992847443,3.298759105682373
2,0.23286,3.1090455671691895,0.260699987411499,3.012229383087158
3,0.27744,2.8773258366394043,0.27880001068115234,2.9209417167663574
4,0.31128,2.71177630317688,0.30309998989105225,2.7715534976959226
5,0.34444,2.5575499517059326,0.3240000009536743,2.6625347953796386
6,0.3657,2.4477939518737792,0.3402999937534332,2.5898485179901125
7,0.39078,2.3329879219055174,0.35510000586509705,2.5423820495605467
8,0.41284,2.2321071585083008,0.367900013923645,2.481904291534424
9,0.43202,2.136675700454712,0.3772999942302704,2.44488073348999
10,0.4498,2.0484516352081297,0.37790000438690186,2.451500299835205
11,0.47002,1.9720579259872437,0.39010000228881836,2.401600886917114
12,0.48544,1.899157170791626,0.387800008058548,2.4146795753479005
13,0.5018,1.8272026892852784,0.39070001244544983,2.4074768363952637
14,0.51444,1.7617127612304688,0.38280001282691956,2.4752611312866213
15,0.5338,1.685805646095276,0.40130001306533813,2.436495027923584
16,0.54906,1.6295883569335938,0.3959999978542328,2.472678705215454
17,0.55942,1.5741271157455445,0.3953999876976013,2.4822909858703612
18,0.57512,1.5104182056045532,0.39649999141693115,2.5361740089416505
19,0.58636,1.4599329728698731,0.3921999931335449,2.545237497711182
