epoch,accuracy,loss,val_accuracy,val_loss
0,0.00962,4.609432651062011,0.009600000455975533,4.605553463745117
1,0.00808,4.606268526916504,0.009999999776482582,4.605179650115967
2,0.00864,4.605633428039551,0.010400000028312206,4.605242141723632
3,0.00876,4.605590980529785,0.010200000368058681,4.6053503913879394
4,0.00832,4.605605329284668,0.008899999782443047,4.605550606536865
5,0.00856,4.60564200454712,0.01140000019222498,4.605882236480713
6,0.00928,4.605878354949951,0.011500000022351742,4.606119075012207
7,0.00814,4.605661517181397,0.009999999776482582,4.605181185913086
8,0.00852,4.6057452262878416,0.009800000116229057,4.605448751831054
9,0.00848,4.605603200378418,0.009999999776482582,4.605066220092773
10,0.00856,4.605661985321045,0.009600000455975533,4.606226084899903
11,0.00818,4.605742749481201,0.010099999606609344,4.605162326049805
12,0.00838,4.60565508026123,0.009999999776482582,4.60515563583374
13,0.00872,4.60590192993164,0.009999999776482582,4.60518087310791
14,0.0082,4.605672521057129,0.010300000198185444,4.605827799987793
15,0.00884,4.6057632096862795,0.009999999776482582,4.6051754196167
16,0.00796,4.605557505493164,0.009999999776482582,4.605175431823731
17,0.00882,4.6055590550231935,0.009999999776482582,4.605174543762207
18,0.0091,4.606232021179199,0.009999999776482582,4.605179229736328
19,0.00816,4.605765039367676,0.009800000116229057,4.605827967834473
20,0.00856,4.605575134582519,0.009999999776482582,4.605174842071533
21,0.00918,4.605551384429932,0.009999999776482582,4.6051829833984375
22,0.00922,4.606150735168457,0.010499999858438969,4.633039762878418
23,0.00888,4.605671748352051,0.009999999776482582,4.605174203491211
24,0.009,4.605580296783447,0.010200000368058681,4.605174660491944
25,0.00868,4.605766735534668,0.009999999776482582,4.6051736770629885
26,0.00888,4.605567916259766,0.009999999776482582,4.6051739326477055
27,0.00814,4.605598574371338,0.009999999776482582,4.605173767089844
28,0.00864,4.606075745697021,0.009999999776482582,4.6051736892700195
29,0.00894,4.605562214508057,0.009999999776482582,4.605173736572266
30,0.00844,4.605558326721192,0.009999999776482582,4.605173918151856
